"Story","Title","Result","Date","Stability","Duration (s)"
"Issue age verification attestation","Log in successfully","SUCCESS","2024-10-08T15:15:32.159765+03:00[Europe/Athens]","0.0","6.85"
"Issue age verification attestation","Add document via Age Verification","SUCCESS","2024-10-08T15:15:39.027965+03:00[Europe/Athens]","0.0","6.67"
"Issue age verification attestation","Select authentication method and enter data","SUCCESS","2024-10-08T15:15:45.714614+03:00[Europe/Athens]","0.0","6.64"
"Issue age verification attestation","Register personal data and view age verification","SUCCESS","2024-10-08T15:15:52.370791+03:00[Europe/Athens]","0.0","6.79"
"Age verification attestation (proximity)","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:15:59.184146+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation (proximity)","User shares age verification through QR code scan","SUCCESS","2024-10-08T15:16:05.779651+03:00[Europe/Athens]","0.0","6.73"
"Age verification attestation (proximity)","Verifier scans the QR code for age verification","SUCCESS","2024-10-08T15:16:12.524321+03:00[Europe/Athens]","0.0","6.59"
"Age verification attestation (proximity)","User proceeds with the verifier's request","SUCCESS","2024-10-08T15:16:19.132229+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation (proximity)","User enters the PIN and shares information","SUCCESS","2024-10-08T15:16:25.726809+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T15:16:32.370694+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T15:16:39.104889+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T15:16:45.789613+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T15:16:52.519232+03:00[Europe/Athens]","0.0","6.57"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T15:16:59.099246+03:00[Europe/Athens]","0.0","6.91"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T15:17:06.020569+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation same device","Age Verification via EUDI Wallet","SUCCESS","2024-10-08T15:17:12.640677+03:00[Europe/Athens]","0.0","6.69"
"Age verification attestation same device","Redirect to EUDI Wallet for successful authentication","SUCCESS","2024-10-08T15:17:19.341683+03:00[Europe/Athens]","0.0","6.59"
"Age verification attestation same device","Inform user about Age Verification Attestation request","SUCCESS","2024-10-08T15:17:25.93996+03:00[Europe/Athens]","0.0","6.77"
"Age verification attestation same device","User authorization for attestation release","SUCCESS","2024-10-08T15:17:32.727903+03:00[Europe/Athens]","0.0","6.52"
"Age verification attestation same device","User enters incorrect PIN","SUCCESS","2024-10-08T15:17:39.262116+03:00[Europe/Athens]","0.0","6.81"
"Age verification attestation same device","User re-enters correct PIN","SUCCESS","2024-10-08T15:17:46.086536+03:00[Europe/Athens]","0.0","6.74"
"Age verification attestation same device","Relying Party receives age verification attestation","SUCCESS","2024-10-08T15:17:52.83693+03:00[Europe/Athens]","0.0","6.58"
"Delete age verification attestation","User enters PIN and selects an age verification document","SUCCESS","2024-10-08T15:17:59.428913+03:00[Europe/Athens]","0.0","6.54"
"Delete age verification attestation","User initiates document deletion","SUCCESS","2024-10-08T15:18:05.977515+03:00[Europe/Athens]","0.0","6.7"
"Delete age verification attestation","User cancels the document deletion","SUCCESS","2024-10-08T15:18:12.68697+03:00[Europe/Athens]","0.0","6.57"
"Delete age verification attestation","User re-initiates document deletion","SUCCESS","2024-10-08T15:18:19.267198+03:00[Europe/Athens]","0.0","6.88"
"Delete age verification attestation","User confirms the document deletion","SUCCESS","2024-10-08T15:18:26.15734+03:00[Europe/Athens]","0.0","6.66"
"View age verification attestation","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:18:32.832635+03:00[Europe/Athens]","0.0","6.6"
"View age verification attestation","User opens an Age Verification attestation from the dashboard","SUCCESS","2024-10-08T15:18:39.448445+03:00[Europe/Athens]","0.0","6.62"
"View age verification attestation","User closes the Age Verification attestation and returns to the dashboard","SUCCESS","2024-10-08T15:18:46.076982+03:00[Europe/Athens]","0.0","6.54"
