"Story","Title","Result","Date","Stability","Duration (s)"
"Credential issuance process for the same device","User selects to issue a credential","SUCCESS","2024-10-08T15:21:55.06535+03:00[Europe/Athens]","0.0","58.42"
"Online Identification & Authentication (same-device)","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:28:07.247844+03:00[Europe/Athens]","0.0","37.3"
"Online Identification & Authentication (same-device)","Dashboard page is displayed","SUCCESS","2024-10-08T15:28:44.55449+03:00[Europe/Athens]","0.0","51.48"
"Online Identification & Authentication (same-device)","User selects data to share","SUCCESS","2024-10-08T15:29:36.050319+03:00[Europe/Athens]","0.0","50.22"
"Online Identification & Authentication (same-device)","User views and unselects data","SUCCESS","2024-10-08T15:30:26.287239+03:00[Europe/Athens]","0.0","56.14"
"Deleting a mDL document","User enters PIN and selects a mDL","SUCCESS","2024-10-08T15:32:26.781648+03:00[Europe/Athens]","0.0","40.64"
"Deleting a mDL document","User deletes the document","SUCCESS","2024-10-08T15:33:07.430292+03:00[Europe/Athens]","0.0","43.39"
"Request/Issue mDL","Log in successfully","SUCCESS","2024-10-08T15:42:07.402355+03:00[Europe/Athens]","0.0","38.07"
"Request/Issue mDL","Country and credential provider selection","SUCCESS","2024-10-08T15:43:15.343772+03:00[Europe/Athens]","0.0","44.21"
"Request/Issue PID","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:45:44.637043+03:00[Europe/Athens]","0.0","38.23"
"Request/Issue PID","Add document via national ID","SUCCESS","2024-10-08T15:46:22.878555+03:00[Europe/Athens]","0.0","34.31"
"Request/Issue PID","Select authentication method and enter data","SUCCESS","2024-10-08T15:46:57.199779+03:00[Europe/Athens]","0.0","44.94"
"Dashboard display","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:55:45.017259+03:00[Europe/Athens]","0.0","39.11"
"Dashboard display","User views issued documents on the dashboard","SUCCESS","2024-10-08T15:56:24.135826+03:00[Europe/Athens]","0.0","39.21"
"View mDL document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:57:03.358546+03:00[Europe/Athens]","0.0","38.31"
"View mDL document","User opens the mDL document from the dashboard","SUCCESS","2024-10-08T15:57:41.677585+03:00[Europe/Athens]","0.0","41.03"
"View mDL document","User closes the mDL document and returns to the dashboard","SUCCESS","2024-10-08T15:58:22.718206+03:00[Europe/Athens]","0.0","43.33"
"View PID document","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:59:06.06581+03:00[Europe/Athens]","0.0","39.28"
"View PID document","User opens the PID document from the dashboard","SUCCESS","2024-10-08T15:59:45.352678+03:00[Europe/Athens]","0.0","41.15"
"View PID document","User closes the PID document and returns to the dashboard","SUCCESS","2024-10-08T16:00:26.517955+03:00[Europe/Athens]","0.0","43.54"
