"Story","Title","Result","Date","Stability","Duration (s)"
"Booking Service Reservation with EUDI Wallet (cross device)","User fills in the booking reservation form and presents identity attestations","SUCCESS","2024-10-08T15:10:29.020587+03:00[Europe/Athens]","0.0","7.2"
"Booking Service Reservation with EUDI Wallet (cross device)","User selects to present attestations with the EUDI Wallet and scans QR-code","SUCCESS","2024-10-08T15:10:36.236984+03:00[Europe/Athens]","0.0","6.69"
"Booking Service Reservation with EUDI Wallet (cross device)","Open camera for QR scan","SUCCESS","2024-10-08T15:10:42.937839+03:00[Europe/Athens]","0.0","6.78"
"Booking Service Reservation with EUDI Wallet (cross device)","Display booking request after QR scan","SUCCESS","2024-10-08T15:10:49.72492+03:00[Europe/Athens]","0.0","6.9"
"Booking Service Reservation with EUDI Wallet (cross device)","Consent and PIN for booking service request","SUCCESS","2024-10-08T15:10:56.63681+03:00[Europe/Athens]","0.0","6.85"
"Booking Service Reservation with EUDI Wallet (cross device)","Show reservation preview","SUCCESS","2024-10-08T15:11:03.50158+03:00[Europe/Athens]","0.0","6.94"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T15:11:31.171333+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T15:11:37.919824+03:00[Europe/Athens]","0.0","6.8"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T15:11:44.729798+03:00[Europe/Athens]","0.0","6.45"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T15:11:51.194195+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T15:11:57.919327+03:00[Europe/Athens]","0.0","6.78"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T15:12:04.710202+03:00[Europe/Athens]","0.0","6.81"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T15:12:11.536554+03:00[Europe/Athens]","0.0","6.77"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T15:12:18.318715+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T15:12:24.976986+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation (cross device)","Issuing the new document via QR code","SUCCESS","2024-10-08T15:12:31.607169+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T15:12:38.270782+03:00[Europe/Athens]","0.0","6.55"
"Issue photo ID attestation (cross device)","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T15:12:44.832821+03:00[Europe/Athens]","0.0","6.83"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T15:12:51.677429+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:12:58.327561+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:13:04.993718+03:00[Europe/Athens]","0.0","6.61"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T15:13:11.615018+03:00[Europe/Athens]","0.0","6.72"
"Issuing reservation confirmation to EUDI Wallet","User selects to issue a reservation confirmation attestation","SUCCESS","2024-10-08T15:13:18.347328+03:00[Europe/Athens]","0.0","6.76"
"Issuing reservation confirmation to EUDI Wallet","Successful authentication in EUDI Wallet","SUCCESS","2024-10-08T15:13:25.120825+03:00[Europe/Athens]","0.0","6.6"
"Issuing reservation confirmation to EUDI Wallet","Display options modal","SUCCESS","2024-10-08T15:13:31.735129+03:00[Europe/Athens]","0.0","6.66"
"Issuing reservation confirmation to EUDI Wallet","Open camera for QR code scanning","SUCCESS","2024-10-08T15:13:38.410858+03:00[Europe/Athens]","0.0","6.75"
"Issuing reservation confirmation to EUDI Wallet","Inform user of attestation offer after QR code scan","SUCCESS","2024-10-08T15:13:45.178468+03:00[Europe/Athens]","0.0","6.63"
"Issuing reservation confirmation to EUDI Wallet","Issuer sends credential to Wallet","SUCCESS","2024-10-08T15:13:51.817142+03:00[Europe/Athens]","0.0","6.85"
"Issuing reservation confirmation to EUDI Wallet","Confirming Credential Addition","SUCCESS","2024-10-08T15:13:58.678731+03:00[Europe/Athens]","0.0","6.66"
"EUDI Wallet Booking Reservation Presentation","Successful Authentication","SUCCESS","2024-10-08T15:14:05.353243+03:00[Europe/Athens]","0.0","6.77"
"EUDI Wallet Booking Reservation Presentation","Display QR code","SUCCESS","2024-10-08T15:14:12.133021+03:00[Europe/Athens]","0.0","6.54"
"EUDI Wallet Booking Reservation Presentation","Inform user of attestation request after QR code scan","SUCCESS","2024-10-08T15:14:18.688285+03:00[Europe/Athens]","0.0","6.7"
"EUDI Wallet Booking Reservation Presentation","Display PIN after credential consent","SUCCESS","2024-10-08T15:14:25.408259+03:00[Europe/Athens]","0.0","6.64"
"EUDI Wallet Booking Reservation Presentation","Display success message and attestation to Relying Party","SUCCESS","2024-10-08T15:14:32.065177+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T15:14:38.736651+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T15:14:45.376982+03:00[Europe/Athens]","0.0","6.67"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T15:14:52.054957+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T15:14:58.664023+03:00[Europe/Athens]","0.0","6.8"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T15:15:05.478885+03:00[Europe/Athens]","0.0","6.57"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T15:15:12.065036+03:00[Europe/Athens]","0.0","6.86"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T15:15:18.937308+03:00[Europe/Athens]","0.0","6.53"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T15:15:25.484151+03:00[Europe/Athens]","0.0","6.66"
"Issue age verification attestation","Log in successfully","SUCCESS","2024-10-08T15:15:32.159765+03:00[Europe/Athens]","0.0","6.85"
"Issue age verification attestation","Add document via Age Verification","SUCCESS","2024-10-08T15:15:39.027965+03:00[Europe/Athens]","0.0","6.67"
"Issue age verification attestation","Select authentication method and enter data","SUCCESS","2024-10-08T15:15:45.714614+03:00[Europe/Athens]","0.0","6.64"
"Issue age verification attestation","Register personal data and view age verification","SUCCESS","2024-10-08T15:15:52.370791+03:00[Europe/Athens]","0.0","6.79"
"Age verification attestation (proximity)","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T15:15:59.184146+03:00[Europe/Athens]","0.0","6.58"
