"Story","Title","Result","Date","Stability","Duration (s)"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T14:32:25.11812+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T14:32:31.73995+03:00[Europe/Athens]","0.0","6.66"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T14:32:38.406235+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T14:32:45.000133+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T14:32:51.724117+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T14:32:58.450589+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","Age Verification via EUDI Wallet","SUCCESS","2024-10-08T14:33:05.097585+03:00[Europe/Athens]","0.0","6.64"
"Age verification attestation same device","Redirect to EUDI Wallet for successful authentication","SUCCESS","2024-10-08T14:33:11.743645+03:00[Europe/Athens]","0.0","6.65"
"Age verification attestation same device","Inform user about Age Verification Attestation request","SUCCESS","2024-10-08T14:33:18.404568+03:00[Europe/Athens]","0.0","6.7"
"Age verification attestation same device","User authorization for attestation release","SUCCESS","2024-10-08T14:33:25.115261+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","User enters incorrect PIN","SUCCESS","2024-10-08T14:33:31.7553+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation same device","User re-enters correct PIN","SUCCESS","2024-10-08T14:33:38.483786+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation same device","Relying Party receives age verification attestation","SUCCESS","2024-10-08T14:33:45.164455+03:00[Europe/Athens]","0.0","6.64"
