"Story","Title","Result","Date","Stability","Duration (s)"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T14:30:32.1211+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T14:30:38.7915+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T14:30:45.444552+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T14:30:52.092523+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T14:30:58.720032+03:00[Europe/Athens]","0.0","6.62"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T14:31:05.355856+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T14:31:11.963242+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T14:31:18.60485+03:00[Europe/Athens]","0.0","6.66"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T14:59:36.414036+03:00[Europe/Athens]","0.0","50.71"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:00:27.134002+03:00[Europe/Athens]","0.0","50.76"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:01:17.906659+03:00[Europe/Athens]","0.0","49.75"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:02:07.669101+03:00[Europe/Athens]","0.0","50.61"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:02:58.290666+03:00[Europe/Athens]","0.0","52.29"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:03:50.587743+03:00[Europe/Athens]","0.0","56.96"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T15:14:38.736651+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T15:14:45.376982+03:00[Europe/Athens]","0.0","6.67"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T15:14:52.054957+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T15:14:58.664023+03:00[Europe/Athens]","0.0","6.8"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T15:15:05.478885+03:00[Europe/Athens]","0.0","6.57"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T15:15:12.065036+03:00[Europe/Athens]","0.0","6.86"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T15:15:18.937308+03:00[Europe/Athens]","0.0","6.53"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T15:15:25.484151+03:00[Europe/Athens]","0.0","6.66"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T15:49:05.196042+03:00[Europe/Athens]","0.0","63.47"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:50:08.67864+03:00[Europe/Athens]","0.0","64.2"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:51:12.887016+03:00[Europe/Athens]","0.0","65.99"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:52:18.890666+03:00[Europe/Athens]","0.0","65.38"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:53:24.281148+03:00[Europe/Athens]","0.0","66.69"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:54:30.985761+03:00[Europe/Athens]","0.0","74.01"
