"Story","Title","Result","Date","Stability","Duration (s)"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T14:30:32.1211+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T14:30:38.7915+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T14:30:45.444552+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T14:30:52.092523+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T14:30:58.720032+03:00[Europe/Athens]","0.0","6.62"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T14:31:05.355856+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T14:31:11.963242+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T14:31:18.60485+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T15:14:38.736651+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T15:14:45.376982+03:00[Europe/Athens]","0.0","6.67"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T15:14:52.054957+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T15:14:58.664023+03:00[Europe/Athens]","0.0","6.8"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T15:15:05.478885+03:00[Europe/Athens]","0.0","6.57"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T15:15:12.065036+03:00[Europe/Athens]","0.0","6.86"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T15:15:18.937308+03:00[Europe/Athens]","0.0","6.53"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T15:15:25.484151+03:00[Europe/Athens]","0.0","6.66"
