"Story","Title","Result","Date","Stability","Duration (s)"
"Online Identification & Authentication (same-device)","User authorizes data disclosure","SUCCESS","2024-10-08T15:31:22.436453+03:00[Europe/Athens]","0.0","64.33"
"Deleting a PID document","User enters PIN and selects PID","SUCCESS","2024-10-08T15:33:50.834382+03:00[Europe/Athens]","0.0","91.37"
"Deleting a PID document","User deletes the document","SUCCESS","2024-10-08T15:35:22.216388+03:00[Europe/Athens]","0.0","96.82"
"Deleting a PID document","User deletes the document and application reboots","SUCCESS","2024-10-08T15:36:59.052945+03:00[Europe/Athens]","0.0","97.55"
"Deleting a PID document","User sees the login screen after reboot","SUCCESS","2024-10-08T15:38:36.619903+03:00[Europe/Athens]","0.0","105.72"
"Deleting a PID document","User needs to enter a PID again","SUCCESS","2024-10-08T15:40:22.353424+03:00[Europe/Athens]","0.0","105.04"
"Request/Issue mDL","Register personal data and view driving license","SUCCESS","2024-10-08T15:43:59.562297+03:00[Europe/Athens]","0.0","105.07"
"Request/Issue PID","Enter data and display national ID","SUCCESS","2024-10-08T15:47:42.148454+03:00[Europe/Athens]","0.0","83.03"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T15:49:05.196042+03:00[Europe/Athens]","0.0","63.47"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:50:08.67864+03:00[Europe/Athens]","0.0","64.2"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:51:12.887016+03:00[Europe/Athens]","0.0","65.99"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:52:18.890666+03:00[Europe/Athens]","0.0","65.38"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:53:24.281148+03:00[Europe/Athens]","0.0","66.69"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:54:30.985761+03:00[Europe/Athens]","0.0","74.01"
