"Story","Title","Result","Date","Stability","Duration (s)"
"Booking Service Reservation with EUDI Wallet (cross device)","User fills in the booking reservation form and presents identity attestations","SUCCESS","2024-10-08T14:26:25.06224+03:00[Europe/Athens]","0.0","8.36"
"Booking Service Reservation with EUDI Wallet (cross device)","User selects to present attestations with the EUDI Wallet and scans QR-code","SUCCESS","2024-10-08T14:26:33.449361+03:00[Europe/Athens]","0.0","6.41"
"Booking Service Reservation with EUDI Wallet (cross device)","Open camera for QR scan","SUCCESS","2024-10-08T14:26:39.882441+03:00[Europe/Athens]","0.0","6.56"
"Booking Service Reservation with EUDI Wallet (cross device)","Display booking request after QR scan","SUCCESS","2024-10-08T14:26:46.469988+03:00[Europe/Athens]","0.0","6.48"
"Booking Service Reservation with EUDI Wallet (cross device)","Consent and PIN for booking service request","SUCCESS","2024-10-08T14:26:52.964357+03:00[Europe/Athens]","0.0","6.6"
"Booking Service Reservation with EUDI Wallet (cross device)","Show reservation preview","SUCCESS","2024-10-08T14:26:59.577311+03:00[Europe/Athens]","0.0","6.55"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T14:27:25.980454+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T14:27:32.61205+03:00[Europe/Athens]","0.0","6.58"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T14:27:39.209143+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T14:27:45.812886+03:00[Europe/Athens]","0.0","6.63"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T14:27:52.461211+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T14:27:59.124296+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T14:28:05.758761+03:00[Europe/Athens]","0.0","6.63"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T14:28:12.401903+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation (cross device)","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T14:28:19.151897+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Issuing the new document via QR code","SUCCESS","2024-10-08T14:28:25.816155+03:00[Europe/Athens]","0.0","6.56"
"Issue photo ID attestation (cross device)","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T14:28:32.390956+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (cross device)","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T14:28:39.043629+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T14:28:45.699077+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T14:28:52.420683+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:28:59.025141+03:00[Europe/Athens]","0.0","6.69"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T14:29:05.725975+03:00[Europe/Athens]","0.0","6.6"
"Issuing reservation confirmation to EUDI Wallet","User selects to issue a reservation confirmation attestation","SUCCESS","2024-10-08T14:29:12.338826+03:00[Europe/Athens]","0.0","6.62"
"Issuing reservation confirmation to EUDI Wallet","Successful authentication in EUDI Wallet","SUCCESS","2024-10-08T14:29:18.970839+03:00[Europe/Athens]","0.0","6.63"
"Issuing reservation confirmation to EUDI Wallet","Display options modal","SUCCESS","2024-10-08T14:29:25.615709+03:00[Europe/Athens]","0.0","6.63"
"Issuing reservation confirmation to EUDI Wallet","Open camera for QR code scanning","SUCCESS","2024-10-08T14:29:32.261482+03:00[Europe/Athens]","0.0","6.64"
"Issuing reservation confirmation to EUDI Wallet","Inform user of attestation offer after QR code scan","SUCCESS","2024-10-08T14:29:38.917006+03:00[Europe/Athens]","0.0","6.67"
"Issuing reservation confirmation to EUDI Wallet","Issuer sends credential to Wallet","SUCCESS","2024-10-08T14:29:45.596603+03:00[Europe/Athens]","0.0","6.64"
"Issuing reservation confirmation to EUDI Wallet","Confirming Credential Addition","SUCCESS","2024-10-08T14:29:52.255531+03:00[Europe/Athens]","0.0","6.66"
"EUDI Wallet Booking Reservation Presentation","Successful Authentication","SUCCESS","2024-10-08T14:29:58.927552+03:00[Europe/Athens]","0.0","6.62"
"EUDI Wallet Booking Reservation Presentation","Display QR code","SUCCESS","2024-10-08T14:30:05.553872+03:00[Europe/Athens]","0.0","6.67"
"EUDI Wallet Booking Reservation Presentation","Inform user of attestation request after QR code scan","SUCCESS","2024-10-08T14:30:12.235375+03:00[Europe/Athens]","0.0","6.55"
"EUDI Wallet Booking Reservation Presentation","Display PIN after credential consent","SUCCESS","2024-10-08T14:30:18.799305+03:00[Europe/Athens]","0.0","6.68"
"EUDI Wallet Booking Reservation Presentation","Display success message and attestation to Relying Party","SUCCESS","2024-10-08T14:30:25.494787+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T14:30:32.1211+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T14:30:38.7915+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T14:30:45.444552+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T14:30:52.092523+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T14:30:58.720032+03:00[Europe/Athens]","0.0","6.62"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T14:31:05.355856+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T14:31:11.963242+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T14:31:18.60485+03:00[Europe/Athens]","0.0","6.66"
"Issue age verification attestation","Log in successfully","SUCCESS","2024-10-08T14:31:25.275259+03:00[Europe/Athens]","0.0","6.63"
"Issue age verification attestation","Add document via Age Verification","SUCCESS","2024-10-08T14:31:31.912247+03:00[Europe/Athens]","0.0","6.74"
"Issue age verification attestation","Select authentication method and enter data","SUCCESS","2024-10-08T14:31:38.665072+03:00[Europe/Athens]","0.0","6.56"
"Issue age verification attestation","Register personal data and view age verification","SUCCESS","2024-10-08T14:31:45.234513+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation (proximity)","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T14:31:51.915033+03:00[Europe/Athens]","0.0","6.62"
"Age verification attestation (proximity)","User shares age verification through QR code scan","SUCCESS","2024-10-08T14:31:58.551243+03:00[Europe/Athens]","0.0","6.52"
"Age verification attestation (proximity)","Verifier scans the QR code for age verification","SUCCESS","2024-10-08T14:32:05.0816+03:00[Europe/Athens]","0.0","6.59"
"Age verification attestation (proximity)","User proceeds with the verifier's request","SUCCESS","2024-10-08T14:32:11.681462+03:00[Europe/Athens]","0.0","6.7"
"Age verification attestation (proximity)","User enters the PIN and shares information","SUCCESS","2024-10-08T14:32:18.392339+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T14:32:25.11812+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T14:32:31.73995+03:00[Europe/Athens]","0.0","6.66"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T14:32:38.406235+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T14:32:45.000133+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T14:32:51.724117+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T14:32:58.450589+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","Age Verification via EUDI Wallet","SUCCESS","2024-10-08T14:33:05.097585+03:00[Europe/Athens]","0.0","6.64"
"Age verification attestation same device","Redirect to EUDI Wallet for successful authentication","SUCCESS","2024-10-08T14:33:11.743645+03:00[Europe/Athens]","0.0","6.65"
"Age verification attestation same device","Inform user about Age Verification Attestation request","SUCCESS","2024-10-08T14:33:18.404568+03:00[Europe/Athens]","0.0","6.7"
"Age verification attestation same device","User authorization for attestation release","SUCCESS","2024-10-08T14:33:25.115261+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","User enters incorrect PIN","SUCCESS","2024-10-08T14:33:31.7553+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation same device","User re-enters correct PIN","SUCCESS","2024-10-08T14:33:38.483786+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation same device","Relying Party receives age verification attestation","SUCCESS","2024-10-08T14:33:45.164455+03:00[Europe/Athens]","0.0","6.64"
"Delete age verification attestation","User enters PIN and selects an age verification document","SUCCESS","2024-10-08T14:33:51.820969+03:00[Europe/Athens]","0.0","6.71"
"Delete age verification attestation","User initiates document deletion","SUCCESS","2024-10-08T14:33:58.538207+03:00[Europe/Athens]","0.0","6.7"
"Delete age verification attestation","User cancels the document deletion","SUCCESS","2024-10-08T14:34:05.244269+03:00[Europe/Athens]","0.0","6.58"
"Delete age verification attestation","User re-initiates document deletion","SUCCESS","2024-10-08T14:34:11.83206+03:00[Europe/Athens]","0.0","6.67"
"Delete age verification attestation","User confirms the document deletion","SUCCESS","2024-10-08T14:34:18.517416+03:00[Europe/Athens]","0.0","6.62"
"View age verification attestation","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T14:34:25.152803+03:00[Europe/Athens]","0.0","6.59"
"View age verification attestation","User opens an Age Verification attestation from the dashboard","SUCCESS","2024-10-08T14:34:31.756472+03:00[Europe/Athens]","0.0","6.58"
"View age verification attestation","User closes the Age Verification attestation and returns to the dashboard","SUCCESS","2024-10-08T14:34:38.354415+03:00[Europe/Athens]","0.0","6.62"
"Deferred Issuing","User issues a credential to the wallet app","SUCCESS","2024-10-08T14:34:44.980467+03:00[Europe/Athens]","0.0","6.68"
"Deferred Issuing","User proceeds with credential issuance","SUCCESS","2024-10-08T14:34:51.67416+03:00[Europe/Athens]","0.0","6.65"
"Deferred Issuing","User authenticates and consents to issuance","SUCCESS","2024-10-08T14:34:58.34102+03:00[Europe/Athens]","0.0","6.61"
"Deferred Issuing","User acknowledges issuance progress","SUCCESS","2024-10-08T14:35:04.956799+03:00[Europe/Athens]","0.0","6.62"
"Deferred Issuing","Wallet app polls issuer and receives credential","SUCCESS","2024-10-08T14:35:11.589101+03:00[Europe/Athens]","0.0","6.62"
"Deferred Issuing","User views and adds issued document","SUCCESS","2024-10-08T14:35:18.223845+03:00[Europe/Athens]","0.0","6.64"
"Credential Issuance Cancellation","User initiates credential issuance","SUCCESS","2024-10-08T14:35:24.874227+03:00[Europe/Athens]","0.0","6.61"
"Credential Issuance Cancellation","User cancels the issuance process","SUCCESS","2024-10-08T14:35:31.492319+03:00[Europe/Athens]","0.0","6.51"
"Credential Issuance Cancellation","User confirms cancellation","SUCCESS","2024-10-08T14:35:38.011168+03:00[Europe/Athens]","0.0","6.68"
"Pre-authorization code cross device","User visits the Issuer service","SUCCESS","2024-10-08T14:35:44.702107+03:00[Europe/Athens]","0.0","6.58"
"Pre-authorization code cross device","User is presented with a QR for the issuance process","SUCCESS","2024-10-08T14:35:51.289192+03:00[Europe/Athens]","0.0","6.62"
"Pre-authorization code cross device","Wallet app is initiated","SUCCESS","2024-10-08T14:35:57.914779+03:00[Europe/Athens]","0.0","6.68"
"Pre-authorization code cross device","Initiating QR Scan from Add Document Screen","SUCCESS","2024-10-08T14:36:04.600914+03:00[Europe/Athens]","0.0","6.64"
"Pre-authorization code cross device","QR code verification","SUCCESS","2024-10-08T14:36:11.254246+03:00[Europe/Athens]","0.0","6.65"
"Pre-authorization code cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T14:36:17.913968+03:00[Europe/Athens]","0.0","6.54"
"Pre-authorization code cross device","Document display","SUCCESS","2024-10-08T14:36:24.469592+03:00[Europe/Athens]","0.0","6.55"
"Pre-authorization code same device","User selects to issue a credential","SUCCESS","2024-10-08T14:36:31.02883+03:00[Europe/Athens]","0.0","6.59"
"Pre-authorization code same device","User proceeds with the doc issuance","SUCCESS","2024-10-08T14:36:37.62528+03:00[Europe/Athens]","0.0","6.48"
"Pre-authorization code same device","Handling issuer request on wallet app","SUCCESS","2024-10-08T14:36:44.115135+03:00[Europe/Athens]","0.0","6.6"
"Pre-authorization code same device","Transaction code entry","SUCCESS","2024-10-08T14:36:50.728746+03:00[Europe/Athens]","0.0","6.66"
"Pre-authorization code same device","Document display","SUCCESS","2024-10-08T14:36:57.398115+03:00[Europe/Athens]","0.0","6.57"
"Credential issuance process for cross device","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T14:37:03.975016+03:00[Europe/Athens]","0.0","6.59"
"Credential issuance process for cross device","Navigating to the 'Add document' page","SUCCESS","2024-10-08T14:37:10.579127+03:00[Europe/Athens]","0.0","6.61"
"Credential issuance process for cross device","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T14:37:17.203256+03:00[Europe/Athens]","0.0","6.6"
"Credential issuance process for cross device","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T14:37:23.814375+03:00[Europe/Athens]","0.0","6.67"
"Credential issuance process for cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T14:37:30.490319+03:00[Europe/Athens]","0.0","7.52"
"Credential issuance process for cross device","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T14:37:38.018021+03:00[Europe/Athens]","0.0","6.62"
"Credential issuance process for cross device","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T14:37:44.651754+03:00[Europe/Athens]","0.0","6.61"
"Dynamic issuance process","User Initiates Credential Issuance","SUCCESS","2024-10-08T14:41:51.783418+03:00[Europe/Athens]","0.0","7.07"
"Dynamic issuance process","Wallet Initiation and Credential Details Presentation","SUCCESS","2024-10-08T14:41:58.864056+03:00[Europe/Athens]","0.0","6.71"
"Dynamic issuance process","User Proceeds with Credential Issuance","SUCCESS","2024-10-08T14:42:05.586557+03:00[Europe/Athens]","0.0","6.7"
"Dynamic issuance process","Presentation Request for PID","SUCCESS","2024-10-08T14:42:12.297037+03:00[Europe/Athens]","0.0","6.72"
"Dynamic issuance process","User Consents to Share PID","SUCCESS","2024-10-08T14:42:19.028914+03:00[Europe/Athens]","0.0","6.73"
"Dynamic issuance process","Successful PID Presentation","SUCCESS","2024-10-08T14:42:25.774393+03:00[Europe/Athens]","0.0","6.72"
"Dynamic issuance process","Successful Credential Issuance","SUCCESS","2024-10-08T14:42:32.504621+03:00[Europe/Athens]","0.0","6.71"
"Booking Service Reservation with EUDI Wallet (cross device)","User fills in the booking reservation form and presents identity attestations","SUCCESS","2024-10-08T15:10:29.020587+03:00[Europe/Athens]","0.0","7.2"
"Booking Service Reservation with EUDI Wallet (cross device)","User selects to present attestations with the EUDI Wallet and scans QR-code","SUCCESS","2024-10-08T15:10:36.236984+03:00[Europe/Athens]","0.0","6.69"
"Booking Service Reservation with EUDI Wallet (cross device)","Open camera for QR scan","SUCCESS","2024-10-08T15:10:42.937839+03:00[Europe/Athens]","0.0","6.78"
"Booking Service Reservation with EUDI Wallet (cross device)","Display booking request after QR scan","SUCCESS","2024-10-08T15:10:49.72492+03:00[Europe/Athens]","0.0","6.9"
"Booking Service Reservation with EUDI Wallet (cross device)","Consent and PIN for booking service request","SUCCESS","2024-10-08T15:10:56.63681+03:00[Europe/Athens]","0.0","6.85"
"Booking Service Reservation with EUDI Wallet (cross device)","Show reservation preview","SUCCESS","2024-10-08T15:11:03.50158+03:00[Europe/Athens]","0.0","6.94"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T15:11:10.459024+03:00[Europe/Athens]","0.0","20.7"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T15:11:31.171333+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T15:11:37.919824+03:00[Europe/Athens]","0.0","6.8"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T15:11:44.729798+03:00[Europe/Athens]","0.0","6.45"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T15:11:51.194195+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T15:11:57.919327+03:00[Europe/Athens]","0.0","6.78"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T15:12:04.710202+03:00[Europe/Athens]","0.0","6.81"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T15:12:11.536554+03:00[Europe/Athens]","0.0","6.77"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T15:12:18.318715+03:00[Europe/Athens]","0.0","6.65"
