"Story","Title","Result","Date","Stability","Duration (s)"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:39:32.127767+03:00[Europe/Athens]","0.0","70.12"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T14:40:42.258309+03:00[Europe/Athens]","0.0","69.51"
"Request/Issue mDL","Register personal data and view driving license","SUCCESS","2024-10-08T16:06:28.766749+03:00[Europe/Athens]","0.0","64.36"
"Credential issuance process for the same device","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:22:53.500546+03:00[Europe/Athens]","0.0","62.93"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:23:56.444765+03:00[Europe/Athens]","0.0","102.7"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T15:25:39.155842+03:00[Europe/Athens]","0.0","102.85"
"Request/Issue mDL","Register personal data and view driving license","SUCCESS","2024-10-08T15:43:59.562297+03:00[Europe/Athens]","0.0","105.07"
"Request/Issue PID","Enter data and display national ID","SUCCESS","2024-10-08T15:47:42.148454+03:00[Europe/Athens]","0.0","83.03"
"Selective Disclosure","View Requested Data from Verifier","SUCCESS","2024-10-08T15:49:05.196042+03:00[Europe/Athens]","0.0","63.47"
"Selective Disclosure","View Actual Values of Requested Data","SUCCESS","2024-10-08T15:50:08.67864+03:00[Europe/Athens]","0.0","64.2"
"Selective Disclosure","Expand Verification Section","SUCCESS","2024-10-08T15:51:12.887016+03:00[Europe/Athens]","0.0","65.99"
"Selective Disclosure","Unselect Some Data","SUCCESS","2024-10-08T15:52:18.890666+03:00[Europe/Athens]","0.0","65.38"
"Selective Disclosure","Initiate Sharing Process","SUCCESS","2024-10-08T15:53:24.281148+03:00[Europe/Athens]","0.0","66.69"
"Selective Disclosure","Enter PIN Correctly for Data Sharing","SUCCESS","2024-10-08T15:54:30.985761+03:00[Europe/Athens]","0.0","74.01"
