"Story","Title","Result","Date","Stability","Duration (s)"
"Credential issuance process for cross device","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T14:37:03.975016+03:00[Europe/Athens]","0.0","6.59"
"Credential issuance process for cross device","Navigating to the 'Add document' page","SUCCESS","2024-10-08T14:37:10.579127+03:00[Europe/Athens]","0.0","6.61"
"Credential issuance process for cross device","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T14:37:17.203256+03:00[Europe/Athens]","0.0","6.6"
"Credential issuance process for cross device","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T14:37:23.814375+03:00[Europe/Athens]","0.0","6.67"
"Credential issuance process for cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T14:37:30.490319+03:00[Europe/Athens]","0.0","7.52"
"Credential issuance process for cross device","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T14:37:38.018021+03:00[Europe/Athens]","0.0","6.62"
"Credential issuance process for cross device","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T14:37:44.651754+03:00[Europe/Athens]","0.0","6.61"
"Credential issuance process for the same device","User selects to issue a credential","SUCCESS","2024-10-08T14:37:51.273168+03:00[Europe/Athens]","0.0","51.84"
"Credential issuance process for the same device","User proceeds with the credential issuance","SUCCESS","2024-10-08T14:38:43.120834+03:00[Europe/Athens]","0.0","48.99"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:39:32.127767+03:00[Europe/Athens]","0.0","70.12"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T14:40:42.258309+03:00[Europe/Athens]","0.0","69.51"
