"Story","Title","Result","Date","Stability","Duration (s)"
"Issue age verification attestation","Log in successfully","SUCCESS","2024-10-08T14:31:25.275259+03:00[Europe/Athens]","0.0","6.63"
"Issue age verification attestation","Add document via Age Verification","SUCCESS","2024-10-08T14:31:31.912247+03:00[Europe/Athens]","0.0","6.74"
"Issue age verification attestation","Select authentication method and enter data","SUCCESS","2024-10-08T14:31:38.665072+03:00[Europe/Athens]","0.0","6.56"
"Issue age verification attestation","Register personal data and view age verification","SUCCESS","2024-10-08T14:31:45.234513+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation (proximity)","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T14:31:51.915033+03:00[Europe/Athens]","0.0","6.62"
"Age verification attestation (proximity)","User shares age verification through QR code scan","SUCCESS","2024-10-08T14:31:58.551243+03:00[Europe/Athens]","0.0","6.52"
"Age verification attestation (proximity)","Verifier scans the QR code for age verification","SUCCESS","2024-10-08T14:32:05.0816+03:00[Europe/Athens]","0.0","6.59"
"Age verification attestation (proximity)","User proceeds with the verifier's request","SUCCESS","2024-10-08T14:32:11.681462+03:00[Europe/Athens]","0.0","6.7"
"Age verification attestation (proximity)","User enters the PIN and shares information","SUCCESS","2024-10-08T14:32:18.392339+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T14:32:25.11812+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T14:32:31.73995+03:00[Europe/Athens]","0.0","6.66"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T14:32:38.406235+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T14:32:45.000133+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T14:32:51.724117+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T14:32:58.450589+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","Age Verification via EUDI Wallet","SUCCESS","2024-10-08T14:33:05.097585+03:00[Europe/Athens]","0.0","6.64"
"Age verification attestation same device","Redirect to EUDI Wallet for successful authentication","SUCCESS","2024-10-08T14:33:11.743645+03:00[Europe/Athens]","0.0","6.65"
"Age verification attestation same device","Inform user about Age Verification Attestation request","SUCCESS","2024-10-08T14:33:18.404568+03:00[Europe/Athens]","0.0","6.7"
"Age verification attestation same device","User authorization for attestation release","SUCCESS","2024-10-08T14:33:25.115261+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation same device","User enters incorrect PIN","SUCCESS","2024-10-08T14:33:31.7553+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation same device","User re-enters correct PIN","SUCCESS","2024-10-08T14:33:38.483786+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation same device","Relying Party receives age verification attestation","SUCCESS","2024-10-08T14:33:45.164455+03:00[Europe/Athens]","0.0","6.64"
"Delete age verification attestation","User enters PIN and selects an age verification document","SUCCESS","2024-10-08T14:33:51.820969+03:00[Europe/Athens]","0.0","6.71"
"Delete age verification attestation","User initiates document deletion","SUCCESS","2024-10-08T14:33:58.538207+03:00[Europe/Athens]","0.0","6.7"
"Delete age verification attestation","User cancels the document deletion","SUCCESS","2024-10-08T14:34:05.244269+03:00[Europe/Athens]","0.0","6.58"
"Delete age verification attestation","User re-initiates document deletion","SUCCESS","2024-10-08T14:34:11.83206+03:00[Europe/Athens]","0.0","6.67"
"Delete age verification attestation","User confirms the document deletion","SUCCESS","2024-10-08T14:34:18.517416+03:00[Europe/Athens]","0.0","6.62"
"View age verification attestation","User successfully logs in and sees the dashboard","SUCCESS","2024-10-08T14:34:25.152803+03:00[Europe/Athens]","0.0","6.59"
"View age verification attestation","User opens an Age Verification attestation from the dashboard","SUCCESS","2024-10-08T14:34:31.756472+03:00[Europe/Athens]","0.0","6.58"
"View age verification attestation","User closes the Age Verification attestation and returns to the dashboard","SUCCESS","2024-10-08T14:34:38.354415+03:00[Europe/Athens]","0.0","6.62"
