"Story","Title","Result","Date","Stability","Duration (s)"
"Booking Service Reservation with EUDI Wallet (cross device)","User fills in the booking reservation form and presents identity attestations","SUCCESS","2024-10-08T14:26:25.06224+03:00[Europe/Athens]","0.0","8.36"
"Booking Service Reservation with EUDI Wallet (cross device)","User selects to present attestations with the EUDI Wallet and scans QR-code","SUCCESS","2024-10-08T14:26:33.449361+03:00[Europe/Athens]","0.0","6.41"
"Booking Service Reservation with EUDI Wallet (cross device)","Open camera for QR scan","SUCCESS","2024-10-08T14:26:39.882441+03:00[Europe/Athens]","0.0","6.56"
"Booking Service Reservation with EUDI Wallet (cross device)","Display booking request after QR scan","SUCCESS","2024-10-08T14:26:46.469988+03:00[Europe/Athens]","0.0","6.48"
"Booking Service Reservation with EUDI Wallet (cross device)","Consent and PIN for booking service request","SUCCESS","2024-10-08T14:26:52.964357+03:00[Europe/Athens]","0.0","6.6"
"Booking Service Reservation with EUDI Wallet (cross device)","Show reservation preview","SUCCESS","2024-10-08T14:26:59.577311+03:00[Europe/Athens]","0.0","6.55"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Booking Service Reservation with EUDI Wallet (cross device)","Booking Service offers additional options to the user","SUCCESS","2024-10-08T14:27:06.137515+03:00[Europe/Athens]","0.0","19.83"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T14:27:25.980454+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T14:27:32.61205+03:00[Europe/Athens]","0.0","6.58"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T14:27:39.209143+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T14:27:45.812886+03:00[Europe/Athens]","0.0","6.63"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T14:27:52.461211+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T14:27:59.124296+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T14:28:05.758761+03:00[Europe/Athens]","0.0","6.63"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T14:28:12.401903+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation (cross device)","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T14:28:19.151897+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Issuing the new document via QR code","SUCCESS","2024-10-08T14:28:25.816155+03:00[Europe/Athens]","0.0","6.56"
"Issue photo ID attestation (cross device)","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T14:28:32.390956+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (cross device)","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T14:28:39.043629+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T14:28:45.699077+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T14:28:52.420683+03:00[Europe/Athens]","0.0","6.59"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T14:28:59.025141+03:00[Europe/Athens]","0.0","6.69"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T14:29:05.725975+03:00[Europe/Athens]","0.0","6.6"
"Issuing reservation confirmation to EUDI Wallet","User selects to issue a reservation confirmation attestation","SUCCESS","2024-10-08T14:29:12.338826+03:00[Europe/Athens]","0.0","6.62"
"Issuing reservation confirmation to EUDI Wallet","Successful authentication in EUDI Wallet","SUCCESS","2024-10-08T14:29:18.970839+03:00[Europe/Athens]","0.0","6.63"
"Issuing reservation confirmation to EUDI Wallet","Display options modal","SUCCESS","2024-10-08T14:29:25.615709+03:00[Europe/Athens]","0.0","6.63"
"Issuing reservation confirmation to EUDI Wallet","Open camera for QR code scanning","SUCCESS","2024-10-08T14:29:32.261482+03:00[Europe/Athens]","0.0","6.64"
"Issuing reservation confirmation to EUDI Wallet","Inform user of attestation offer after QR code scan","SUCCESS","2024-10-08T14:29:38.917006+03:00[Europe/Athens]","0.0","6.67"
"Issuing reservation confirmation to EUDI Wallet","Issuer sends credential to Wallet","SUCCESS","2024-10-08T14:29:45.596603+03:00[Europe/Athens]","0.0","6.64"
"Issuing reservation confirmation to EUDI Wallet","Confirming Credential Addition","SUCCESS","2024-10-08T14:29:52.255531+03:00[Europe/Athens]","0.0","6.66"
"EUDI Wallet Booking Reservation Presentation","Successful Authentication","SUCCESS","2024-10-08T14:29:58.927552+03:00[Europe/Athens]","0.0","6.62"
"EUDI Wallet Booking Reservation Presentation","Display QR code","SUCCESS","2024-10-08T14:30:05.553872+03:00[Europe/Athens]","0.0","6.67"
"EUDI Wallet Booking Reservation Presentation","Inform user of attestation request after QR code scan","SUCCESS","2024-10-08T14:30:12.235375+03:00[Europe/Athens]","0.0","6.55"
"EUDI Wallet Booking Reservation Presentation","Display PIN after credential consent","SUCCESS","2024-10-08T14:30:18.799305+03:00[Europe/Athens]","0.0","6.68"
"EUDI Wallet Booking Reservation Presentation","Display success message and attestation to Relying Party","SUCCESS","2024-10-08T14:30:25.494787+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","Successful authentication and presentation of attestation","SUCCESS","2024-10-08T14:30:32.1211+03:00[Europe/Athens]","0.0","6.66"
"Sign car rental contract using EUDI Wallet","User authenticates and scans QR code","SUCCESS","2024-10-08T14:30:38.7915+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","User scans the QR code","SUCCESS","2024-10-08T14:30:45.444552+03:00[Europe/Athens]","0.0","6.64"
"Sign car rental contract using EUDI Wallet","Successful attestation release","SUCCESS","2024-10-08T14:30:52.092523+03:00[Europe/Athens]","0.0","6.61"
"Sign car rental contract using EUDI Wallet","User Consents to Share the desired document","SUCCESS","2024-10-08T14:30:58.720032+03:00[Europe/Athens]","0.0","6.62"
"Sign car rental contract using EUDI Wallet","Successful PID Presentation","SUCCESS","2024-10-08T14:31:05.355856+03:00[Europe/Athens]","0.0","6.6"
"Sign car rental contract using EUDI Wallet","QTSP service verifies attestation","SUCCESS","2024-10-08T14:31:11.963242+03:00[Europe/Athens]","0.0","6.63"
"Sign car rental contract using EUDI Wallet","Document signing process","SUCCESS","2024-10-08T14:31:18.60485+03:00[Europe/Athens]","0.0","6.66"
