"Story","Title","Result","Date","Stability","Duration (s)"
"Pre-authorization code cross device","User visits the Issuer service","SUCCESS","2024-10-08T14:35:44.702107+03:00[Europe/Athens]","0.0","6.58"
"Pre-authorization code cross device","User is presented with a QR for the issuance process","SUCCESS","2024-10-08T14:35:51.289192+03:00[Europe/Athens]","0.0","6.62"
"Pre-authorization code cross device","Wallet app is initiated","SUCCESS","2024-10-08T14:35:57.914779+03:00[Europe/Athens]","0.0","6.68"
"Pre-authorization code cross device","Initiating QR Scan from Add Document Screen","SUCCESS","2024-10-08T14:36:04.600914+03:00[Europe/Athens]","0.0","6.64"
"Pre-authorization code cross device","QR code verification","SUCCESS","2024-10-08T14:36:11.254246+03:00[Europe/Athens]","0.0","6.65"
"Pre-authorization code cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T14:36:17.913968+03:00[Europe/Athens]","0.0","6.54"
"Pre-authorization code cross device","Document display","SUCCESS","2024-10-08T14:36:24.469592+03:00[Europe/Athens]","0.0","6.55"
"Pre-authorization code same device","User selects to issue a credential","SUCCESS","2024-10-08T14:36:31.02883+03:00[Europe/Athens]","0.0","6.59"
"Pre-authorization code same device","User proceeds with the doc issuance","SUCCESS","2024-10-08T14:36:37.62528+03:00[Europe/Athens]","0.0","6.48"
"Pre-authorization code same device","Handling issuer request on wallet app","SUCCESS","2024-10-08T14:36:44.115135+03:00[Europe/Athens]","0.0","6.6"
"Pre-authorization code same device","Transaction code entry","SUCCESS","2024-10-08T14:36:50.728746+03:00[Europe/Athens]","0.0","6.66"
"Pre-authorization code same device","Document display","SUCCESS","2024-10-08T14:36:57.398115+03:00[Europe/Athens]","0.0","6.57"
