"Story","Title","Result","Date","Stability","Duration (s)"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T14:32:25.11812+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T14:32:31.73995+03:00[Europe/Athens]","0.0","6.66"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T14:32:38.406235+03:00[Europe/Athens]","0.0","6.58"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T14:32:45.000133+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T14:32:51.724117+03:00[Europe/Athens]","0.0","6.71"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T14:32:58.450589+03:00[Europe/Athens]","0.0","6.63"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T15:16:32.370694+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T15:16:39.104889+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T15:16:45.789613+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T15:16:52.519232+03:00[Europe/Athens]","0.0","6.57"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T15:16:59.099246+03:00[Europe/Athens]","0.0","6.91"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T15:17:06.020569+03:00[Europe/Athens]","0.0","6.61"
