"Story","Title","Result","Date","Stability","Duration (s)"
"Issue photo ID attestation","Log in successfully","SUCCESS","2024-10-08T15:11:31.171333+03:00[Europe/Athens]","0.0","6.74"
"Issue photo ID attestation","Add photo ID","SUCCESS","2024-10-08T15:11:37.919824+03:00[Europe/Athens]","0.0","6.8"
"Issue photo ID attestation","Select authentication method and enter data","SUCCESS","2024-10-08T15:11:44.729798+03:00[Europe/Athens]","0.0","6.45"
"Issue photo ID attestation","Register personal data and view photo ID","SUCCESS","2024-10-08T15:11:51.194195+03:00[Europe/Athens]","0.0","6.71"
"Issue photo ID attestation (cross device)","QR Code generation for Photo ID Attestation","SUCCESS","2024-10-08T15:11:57.919327+03:00[Europe/Athens]","0.0","6.78"
"Issue photo ID attestation (cross device)","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T15:12:04.710202+03:00[Europe/Athens]","0.0","6.81"
"Issue photo ID attestation (cross device)","Navigating to the 'Add document' page","SUCCESS","2024-10-08T15:12:11.536554+03:00[Europe/Athens]","0.0","6.77"
"Issue photo ID attestation (cross device)","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T15:12:18.318715+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T15:12:24.976986+03:00[Europe/Athens]","0.0","6.62"
"Issue photo ID attestation (cross device)","Issuing the new document via QR code","SUCCESS","2024-10-08T15:12:31.607169+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (cross device)","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T15:12:38.270782+03:00[Europe/Athens]","0.0","6.55"
"Issue photo ID attestation (cross device)","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T15:12:44.832821+03:00[Europe/Athens]","0.0","6.83"
"Issue photo ID attestation (same device)","User selects to issue a photo ID","SUCCESS","2024-10-08T15:12:51.677429+03:00[Europe/Athens]","0.0","6.64"
"Issue photo ID attestation (same device)","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:12:58.327561+03:00[Europe/Athens]","0.0","6.65"
"Issue photo ID attestation (same device)","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:13:04.993718+03:00[Europe/Athens]","0.0","6.61"
"Issue photo ID attestation (same device)","User views the issued identity in the EUDI Wallet","SUCCESS","2024-10-08T15:13:11.615018+03:00[Europe/Athens]","0.0","6.72"
