"Story","Title","Result","Date","Stability","Duration (s)"
"Age verification attestation cross device","Display QR code on Relying Party service","SUCCESS","2024-10-08T15:16:32.370694+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User scans the QR code","SUCCESS","2024-10-08T15:16:39.104889+03:00[Europe/Athens]","0.0","6.67"
"Age verification attestation cross device","Inform user about age verification request","SUCCESS","2024-10-08T15:16:45.789613+03:00[Europe/Athens]","0.0","6.72"
"Age verification attestation cross device","User attempts to share age verification attestation","SUCCESS","2024-10-08T15:16:52.519232+03:00[Europe/Athens]","0.0","6.57"
"Age verification attestation cross device","User enters incorrect PIN","SUCCESS","2024-10-08T15:16:59.099246+03:00[Europe/Athens]","0.0","6.91"
"Age verification attestation cross device","User re-enters correct PIN","SUCCESS","2024-10-08T15:17:06.020569+03:00[Europe/Athens]","0.0","6.61"
"Age verification attestation same device","Age Verification via EUDI Wallet","SUCCESS","2024-10-08T15:17:12.640677+03:00[Europe/Athens]","0.0","6.69"
"Age verification attestation same device","Redirect to EUDI Wallet for successful authentication","SUCCESS","2024-10-08T15:17:19.341683+03:00[Europe/Athens]","0.0","6.59"
"Age verification attestation same device","Inform user about Age Verification Attestation request","SUCCESS","2024-10-08T15:17:25.93996+03:00[Europe/Athens]","0.0","6.77"
"Age verification attestation same device","User authorization for attestation release","SUCCESS","2024-10-08T15:17:32.727903+03:00[Europe/Athens]","0.0","6.52"
"Age verification attestation same device","User enters incorrect PIN","SUCCESS","2024-10-08T15:17:39.262116+03:00[Europe/Athens]","0.0","6.81"
"Age verification attestation same device","User re-enters correct PIN","SUCCESS","2024-10-08T15:17:46.086536+03:00[Europe/Athens]","0.0","6.74"
"Age verification attestation same device","Relying Party receives age verification attestation","SUCCESS","2024-10-08T15:17:52.83693+03:00[Europe/Athens]","0.0","6.58"
