"Story","Title","Result","Date","Stability","Duration (s)"
"Credential issuance process for cross device","Opening the EUDI Wallet and viewing the dashboard","SUCCESS","2024-10-08T15:21:09.334448+03:00[Europe/Athens]","0.0","6.37"
"Credential issuance process for cross device","Navigating to the 'Add document' page","SUCCESS","2024-10-08T15:21:15.711374+03:00[Europe/Athens]","0.0","6.4"
"Credential issuance process for cross device","Initiating the QR code scanning for document addition","SUCCESS","2024-10-08T15:21:22.12159+03:00[Europe/Athens]","0.0","6.8"
"Credential issuance process for cross device","Scanning the QR code and viewing credential details","SUCCESS","2024-10-08T15:21:28.937152+03:00[Europe/Athens]","0.0","6.29"
"Credential issuance process for cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T15:21:35.244364+03:00[Europe/Athens]","0.0","6.69"
"Credential issuance process for cross device","Completing the issuance process and viewing the success message","SUCCESS","2024-10-08T15:21:41.943668+03:00[Europe/Athens]","0.0","6.48"
"Credential issuance process for cross device","Viewing the newly added document on the dashboard","SUCCESS","2024-10-08T15:21:48.439004+03:00[Europe/Athens]","0.0","6.61"
"Credential issuance process for the same device","User selects to issue a credential","SUCCESS","2024-10-08T15:21:55.06535+03:00[Europe/Athens]","0.0","58.42"
"Credential issuance process for the same device","User proceeds with the credential issuance","SUCCESS","2024-10-08T15:22:53.500546+03:00[Europe/Athens]","0.0","62.93"
"Credential issuance process for the same device","User authenticates and consents to the issuance","SUCCESS","2024-10-08T15:23:56.444765+03:00[Europe/Athens]","0.0","102.7"
"Credential issuance process for the same device","User views the issued credential in the EUDI Wallet","SUCCESS","2024-10-08T15:25:39.155842+03:00[Europe/Athens]","0.0","102.85"
