"Story","Title","Result","Date","Stability","Duration (s)"
"Pre-authorization code cross device","User visits the Issuer service","SUCCESS","2024-10-08T15:19:50.992304+03:00[Europe/Athens]","0.0","6.44"
"Pre-authorization code cross device","User is presented with a QR for the issuance process","SUCCESS","2024-10-08T15:19:57.442079+03:00[Europe/Athens]","0.0","6.49"
"Pre-authorization code cross device","Wallet app is initiated","SUCCESS","2024-10-08T15:20:03.941047+03:00[Europe/Athens]","0.0","6.42"
"Pre-authorization code cross device","Initiating QR Scan from Add Document Screen","SUCCESS","2024-10-08T15:20:10.371828+03:00[Europe/Athens]","0.0","6.49"
"Pre-authorization code cross device","QR code verification","SUCCESS","2024-10-08T15:20:16.869719+03:00[Europe/Athens]","0.0","6.56"
"Pre-authorization code cross device","Issuing the new document via QR code","SUCCESS","2024-10-08T15:20:23.44077+03:00[Europe/Athens]","0.0","6.38"
"Pre-authorization code cross device","Document display","SUCCESS","2024-10-08T15:20:29.83047+03:00[Europe/Athens]","0.0","6.54"
"Pre-authorization code same device","User selects to issue a credential","SUCCESS","2024-10-08T15:20:36.383929+03:00[Europe/Athens]","0.0","6.35"
"Pre-authorization code same device","User proceeds with the doc issuance","SUCCESS","2024-10-08T15:20:42.748413+03:00[Europe/Athens]","0.0","6.57"
"Pre-authorization code same device","Handling issuer request on wallet app","SUCCESS","2024-10-08T15:20:49.333185+03:00[Europe/Athens]","0.0","6.67"
"Pre-authorization code same device","Transaction code entry","SUCCESS","2024-10-08T15:20:56.012566+03:00[Europe/Athens]","0.0","6.68"
"Pre-authorization code same device","Document display","SUCCESS","2024-10-08T15:21:02.704415+03:00[Europe/Athens]","0.0","6.62"
