"Story","Title","Result","Date","Stability","Duration (s)"
"Delete age verification attestation","User enters PIN and selects an age verification document","SUCCESS","2024-10-08T14:33:51.820969+03:00[Europe/Athens]","0.0","6.71"
"Delete age verification attestation","User initiates document deletion","SUCCESS","2024-10-08T14:33:58.538207+03:00[Europe/Athens]","0.0","6.7"
"Delete age verification attestation","User cancels the document deletion","SUCCESS","2024-10-08T14:34:05.244269+03:00[Europe/Athens]","0.0","6.58"
"Delete age verification attestation","User re-initiates document deletion","SUCCESS","2024-10-08T14:34:11.83206+03:00[Europe/Athens]","0.0","6.67"
"Delete age verification attestation","User confirms the document deletion","SUCCESS","2024-10-08T14:34:18.517416+03:00[Europe/Athens]","0.0","6.62"
"Delete age verification attestation","User enters PIN and selects an age verification document","SUCCESS","2024-10-08T15:17:59.428913+03:00[Europe/Athens]","0.0","6.54"
"Delete age verification attestation","User initiates document deletion","SUCCESS","2024-10-08T15:18:05.977515+03:00[Europe/Athens]","0.0","6.7"
"Delete age verification attestation","User cancels the document deletion","SUCCESS","2024-10-08T15:18:12.68697+03:00[Europe/Athens]","0.0","6.57"
"Delete age verification attestation","User re-initiates document deletion","SUCCESS","2024-10-08T15:18:19.267198+03:00[Europe/Athens]","0.0","6.88"
"Delete age verification attestation","User confirms the document deletion","SUCCESS","2024-10-08T15:18:26.15734+03:00[Europe/Athens]","0.0","6.66"
